2026-03-18 01:58:14 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:58:15 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:58:15 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:58:15 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:58:15 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:58:15 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:58:16 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:58:16 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:58:16 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:58:16 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:58:16 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:58:17 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:58:17 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:58:17 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:58:17 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:58:17 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:58:18 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:58:18 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:58:19 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:58:19 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:58:20 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:58:20 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:58:20 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:38 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:38 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:40 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:40 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:41 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:41 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:42 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:42 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:42 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:42 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:43 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:43 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:43 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:43 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:44 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:44 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:44 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:45 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
2026-03-18 01:59:46 | INFO | Sent command='REV' bytes=4 port=\\.\COM4
2026-03-18 01:59:46 | INFO | Sent command='STOP' bytes=5 port=\\.\COM4
